type,key,label,candidateCount,sampleAnswers
contains_letters,contains_letters:lny,L と N と Y をすべて含む単語,18452,"abactinally, cannibality, incitability, abandonedly, abdominally, aberrantly, abhorrently, abidingly, dabblingly, abiogenetically, biogenetically, congealability"
contains_letters,contains_letters:hnt,H と N と T をすべて含む単語,18443,"abashment, abashments, bashment, abbroachment, carbomethene, chronobarometer, abdominohysterectomy, abdominohysterotomy, abdominothoracic, rhabdomantic, abernethy, abhorrent"
contains_letters,contains_letters:hlo,H と L と O をすべて含む単語,18399,"abelmoschus, abhominable, abhorrently, abhorrible, abyssolith, ablepharon, balanophore, blepharoblennorrhea, ablepharous, sphaerobolus, abolish, halibios"
contains_letters,contains_letters:cg,C と G をすべて含む単語,18278,"abdicating, abducing, abducting, unabdicating, abencerrages, abiogenetic, cabotinage, geobotanic, iceboating, abiogenetical, biogenetical, geobotanical"
contains_letters,contains_letters:dep,D と E と P をすべて含む単語,18277,"abdominoposterior, abdominoscope, abruptedly, academicianship, acalephoid, acidophile, cephalodia, cephaloid, cephalopodic, dolichocephal, dolichocephali, dolichocephalic"
contains_letters,contains_letters:noy,N と O と Y をすべて含む単語,18276,"abandonedly, abdominally, abdominocystic, abdominohysterectomy, abdominohysterotomy, abdominoscopy, abhorrency, abhorrently, abiogenetically, biogenetically, congealability, geobotanically"
contains_letters,contains_letters:av,A と V をすべて含む単語,18228,"aardvark, aardvarks, aardwolves, aasvogel, aasvogels, lovages, abave, abbevillian, bevillain, enviable, inviable, veniable"
contains_letters,contains_letters:ags,A と G と S をすべて含む単語,18188,"aasvogel, aasvogels, lovages, abasgi, bigas, gabbais, abashing, banishing, bashing, abasing, baggings, basing"
contains_letters,contains_letters:eiv,E と I と V をすべて含む単語,18140,"abbevillian, bevillain, enviable, inviable, veniable, abbreviatable, avertible, irretrievable, liberative, retrievable, triverbal, triverbial"
contains_letters,contains_letters:cht,C と H と T をすべて含む単語,18094,"abbroachment, carbomethene, chronobarometer, abdominohysterectomy, abdominothoracic, rhabdomantic, abichite, bathetic, thebaic, abiotrophic, batrachophobia, ophiobatrachia"
contains_letters,contains_letters:abn,A と B と N をすべて含む単語,18093,"abacinate, abietinic, antecabinet, antitabetic, bennettitaceae, betacaine, cabinet, abacination, abaction, anabiotic, antibiotic, antitobacco"
contains_letters,contains_letters:hnr,H と N と R をすべて含む単語,17911,"abbroachment, carbomethene, chronobarometer, abdominohysterectomy, abdominohysterotomy, abdominothoracic, rhabdomantic, abernethy, abhenry, abhenries, bairnishness, banisher"
contains_letters,contains_letters:my,M と Y をすべて含む単語,17895,"abdominally, abdominocystic, abdominohysterectomy, abdominohysterotomy, abdominoscopy, abepithymia, amphibiety, abysm, abysms, ambassy, abysmal, abysmally"
contains_letters,contains_letters:cps,C と P と S をすべて含む単語,17883,"abdominoscope, abdominoscopy, aberroscope, baroscope, abyssopelagic, absorptance, absorptiometric, academicianship, acalephes, acalephs, cachespell, chapeless"
contains_letters,contains_letters:isy,I と S と Y をすべて含む単語,17847,"abdominocystic, abdominohysterectomy, abdominohysterotomy, abdominoscopy, abeyancies, biscayen, abyssinia, abyssinian, abyssinians, bisayan, abyssobenthonic, abyssolith"
contains_letters,contains_letters:bir,B と I と R をすべて含む単語,17831,"abacterial, bacterial, bicalcarate, calibrate, calibrater, celibataire, irretraceable, irretractable, liberatrice, recalibrate, recitable, retractible"
contains_letters,contains_letters:bin,B と I と N をすべて含む単語,17825,"abacinate, abietinic, antecabinet, antitabetic, bennettitaceae, betacaine, cabinet, abacination, abaction, anabiotic, antibiotic, antitobacco"
contains_letters,contains_letters:diu,D と I と U をすべて含む単語,17807,"abdominous, subdomains, abducing, abducting, unabdicating, abduction, abductions, audubonistic, discubation, subindication, abecedarium, abecedarius"
contains_letters,contains_letters:emu,E と M と U をすべて含む単語,17774,"abecedarium, abelmoschus, abelmusk, abjurement, abnumerable, blubberman, enumerable, lumberman, manurable, membranula, membranule, numberable"
contains_letters,contains_letters:ciy,C と I と Y をすべて含む単語,17705,"abactinally, cannibality, incitability, abdominocystic, abdominohysterectomy, abdominoscopy, abeyancies, biscayen, abiogenetically, biogenetically, congealability, geobotanically"
contains_letters,contains_letters:af,A と F をすべて含む単語,17685,"aardwolf, floorward, forwardal, waldorf, wolfward, abaff, afb, baff, fab, faba, abaft, aftaba"
contains_letters,contains_letters:grt,G と R と T をすべて含む単語,17595,"abbreviating, reabbreviating, reverberating, revibrating, verbenating, verbigerating, aberrating, annabergite, antirebating, bantering, bartering, battering"
contains_letters,contains_letters:psu,P と S と U をすべて含む単語,17576,"abaptistum, ablepharous, sphaerobolus, ablepharus, pearlbush, abruptest, butterpaste, perturbatress, abruptiones, perturbations, petrobrusian, subapprobatiness"
contains_letters,contains_letters:uy,U と Y をすべて含む単語,17557,"abyssus, abjuratory, ablutionary, tintinnabulatory, unorbitally, aboundingly, abruptedly, abruptly, absyrtus, subtray, subturbary, absolutely"
contains_letters,contains_letters:lmt,L と M と T をすべて含む単語,17535,"abdominogenital, abiliment, bailment, bilaminate, imbalmment, inimitable, lamentabile, libament, maintainable, ablastemic, acclimatisable, amicabilities"
contains_letters,contains_letters:bet,B と E と T をすべて含む単語,17494,"abacate, baccate, abacinate, abietinic, antecabinet, antitabetic, bennettitaceae, betacaine, cabinet, abacterial, bacterial, bicalcarate"
contains_letters,contains_letters:pru,P と R と U をすべて含む単語,17470,"ablepharous, sphaerobolus, ablepharus, pearlbush, abrupt, abruptedly, abrupter, perturbate, abruptest, butterpaste, perturbatress, abruptio"
contains_letters,contains_letters:cdo,C と D と O をすべて含む単語,17466,"abdication, bandicoot, nonabdication, abdications, bandicoots, disboscation, abdicator, bactritoid, diabrotic, diabrotica, abdominocardiac, abdominocentesis"
contains_letters,contains_letters:hns,H と N と S をすべて含む単語,17262,"abashedness, headbands, abashing, banishing, bashing, abashment, abashments, bashment, abdominohysterectomy, abdominohysterotomy, abhenries, bairnishness"
contains_letters,contains_letters:beo,B と E と O をすべて含む単語,17250,"abadejo, jobade, abadengo, bondage, dogbane, abalienation, anabolite, ballottine, balneation, bonetail, inobtainable, intonable"
contains_letters,contains_letters:erv,E と R と V をすべて含む単語,17231,"aardwolves, abbrev, beaver, bebrave, bereave, bereaver, berreave, brave, braver, breva, everbearer, abbreviatable"
contains_letters,contains_letters:got,G と O と T をすべて含む単語,17230,"abdominogenital, abiogenesist, abiogenist, abnegations, geobotanist, obsignate, abiogenetic, cabotinage, geobotanic, iceboating, abiogenetical, biogenetical"
contains_letters,contains_letters:dru,D と R と U をすべて含む単語,17159,"abductor, abductores, subcordate, abductors, abecedarium, abecedarius, carburised, decarburise, decarburised, subcarbide, aberduvine, abjudicator"
contains_letters,contains_letters:lms,L と M と S をすべて含む単語,17155,"abdominales, bidimensional, nonadmissible, nonadmissibleness, abdominals, abdominovesical, vesicoabdominal, abelmoschus, abelmosk, abelmosks, smokable, smokables"
contains_letters,contains_letters:lmn,L と M と N をすべて含む単語,17143,"abdominal, abdominalia, abdominalian, abdominales, bidimensional, nonadmissible, nonadmissibleness, abdominally, abdominals, abdominogenital, abdominovaginal, vaginoabdominal"
contains_letters,contains_letters:hpr,H と P と R をすべて含む単語,17123,"abiotrophy, abiotrophic, batrachophobia, ophiobatrachia, trichopathophobia, trichophobia, ablepharia, ablepharon, balanophore, blepharoblennorrhea, ablepharous, sphaerobolus"
contains_letters,contains_letters:emp,E と M と P をすべて含む単語,17080,"abampere, parabema, abamperes, absampere, preembarrass, abdominoposterior, abdominoscope, abepithymia, amphibiety, absorptiometer, absorptiometric, academicianship"
contains_letters,contains_letters:abt,A と B と T をすべて含む単語,17035,"abacate, baccate, abacinate, abietinic, antecabinet, antitabetic, bennettitaceae, betacaine, cabinet, abacination, abaction, anabiotic"
contains_letters,contains_letters:acy,A と C と Y をすべて含む単語,16968,"abacay, abbacy, baccy, cabby, abactinally, cannibality, incitability, abbotcy, tobaccoy, abdominocystic, abdominohysterectomy, abdominoscopy"
contains_letters,contains_letters:nv,N と V をすべて含む単語,16942,"abbevillian, bevillain, enviable, inviable, veniable, abbreviating, reabbreviating, reverberating, revibrating, verbenating, verbigerating, abbreviation"
contains_letters,contains_letters:fn,F と N をすべて含む単語,16938,"abortifacient, birefraction, febricitation, refabrication, absorbefacient, sorbefacient, abusefulness, balefulness, banefulness, unaffableness, unfeasable, unfeasableness"
contains_letters,contains_letters:fo,F と O をすべて含む単語,16933,"aardwolf, floorward, forwardal, waldorf, wolfward, abortifacient, birefraction, febricitation, refabrication, aboveproof, absorbefacient, sorbefacient"
contains_letters,contains_letters:dem,D と E と M をすべて含む単語,16868,"abandonment, abodement, nonabandonment, abandonments, abdomen, bemoaned, endamoeba, endamoebae, abdomens, embadomonas, endamoebas, abdominales"
contains_letters,contains_letters:cmr,C と M と R をすべて含む単語,16820,"abbroachment, carbomethene, chronobarometer, abdominocardiac, abdominohysterectomy, abdominothoracic, rhabdomantic, abecedarium, abnormalcy, abnormalcies, scribbleomania, abrahamic"
contains_letters,contains_letters:coy,C と O と Y をすべて含む単語,16820,"abbotcy, tobaccoy, abdominocystic, abdominohysterectomy, abdominoscopy, abhorrency, abiogenetically, biogenetically, congealability, geobotanically, abiologically, biologically"
contains_letters,contains_letters:imp,I と M と P をすべて含む単語,16794,"abaptistum, abdominoposterior, abdominoscope, abdominoscopy, abepithymia, amphibiety, absorptiometer, absorptiometric, absumption, academicianship, acampsia, scampi"
contains_letters,contains_letters:osy,O と S と Y をすべて含む単語,16771,"abdominocystic, abdominohysterectomy, abdominohysterotomy, abdominoscopy, abyssobenthonic, abyssolith, abyssopelagic, abscondedly, decasyllabon, nondecasyllable, absolutely, beauteously"
contains_letters,contains_letters:abs,A と B と S をすべて含む単語,16733,"abacas, cabas, cabasa, cabs, casaba, casabas, cassaba, cassabas, scab, scabs, abacisci, abasic"
contains_letters,contains_letters:imu,I と M と U をすべて含む単語,16714,"abaptistum, abdominous, subdomains, abecedarium, abomasusi, absinthium, absolutism, automobilism, automobilist, automobilists, abstemious, abstemiously"
contains_letters,contains_letters:clp,C と L と P をすべて含む単語,16705,"abapical, abyssopelagic, ableptical, battlepiece, biplicate, ableptically, acceptability, peccability, acaleph, acalepha, acalephae, acalephe"
contains_letters,contains_letters:esy,E と S と Y をすべて含む単語,16698,"abasedly, syllabled, abashedly, shadbelly, abashlessly, bashyle, abbeys, abyes, abysses, absey, esbay, abbeystead"
contains_letters,contains_letters:ov,O と V をすべて含む単語,16697,"aardwolves, aasvogel, aasvogels, lovages, abbreviation, nonabortive, reverberation, revibration, verberation, vertebration, abbreviations, abortiveness"
contains_letters,contains_letters:nty,N と T と Y をすべて含む単語,16686,"abactinally, cannibality, incitability, abdominocystic, abdominohysterectomy, abdominohysterotomy, abeyant, abernethy, aberrantly, abhorrently, abiogenetically, biogenetically"
contains_letters,contains_letters:gp,G と P をすべて含む単語,16683,"abigailship, abyssopelagic, acanthopterygian, acanthopterygii, chiropterygian, hyperorthognathic, ichthyopterygian, rehypothecating, accelerograph, calcographer, cephalograph, chalcographer"
contains_letters,contains_letters:glo,G と L と O をすべて含む単語,16661,"aasvogel, aasvogels, lovages, abdominogenital, abdominovaginal, vaginoabdominal, abiogenetical, biogenetical, geobotanical, incogitable, abiogenetically, biogenetically"
contains_letters,contains_letters:fl,F と L をすべて含む単語,16626,"aardwolf, floorward, forwardal, waldorf, wolfward, abuseful, suffusable, abusefully, abusefulness, balefulness, banefulness, unaffableness"
contains_letters,contains_letters:dlr,D と L と R をすべて含む単語,16571,"aardwolf, floorward, forwardal, waldorf, wolfward, aardwolves, abnormalised, bandolerismo, abnormalized, modernizable, abradable, balder"
contains_letters,contains_letters:cmt,C と M と T をすべて含む単語,16553,"abbroachment, carbomethene, chronobarometer, abdominocentesis, disembocation, abdominocystic, abdominohysterectomy, abdominothoracic, rhabdomantic, ablastemic, acclimatisable, amicabilities"
contains_letters,contains_letters:ipu,I と P と U をすべて含む単語,16528,"abaptistum, abruptio, tubipora, abruption, unapprobation, abruptiones, perturbations, petrobrusian, subapprobatiness, superobstinate, superobstinateness, turbinatostipitate"
contains_letters,contains_letters:bc,B と C をすべて含む単語,16516,"abac, abaca, abc, bac, bacaba, bacca, caaba, cab, caba, cabaa, abacay, abbacy"
contains_letters,contains_letters:dg,D と G をすべて含む単語,16448,"abadengo, bondage, dogbane, abandoning, aboding, bignoniad, nonabiding, abbogada, abogado, dagoba, abdicating, abdominogenital"
contains_letters,contains_letters:lsy,L と S と Y をすべて含む単語,16353,"abasedly, syllabled, abashedly, shadbelly, abashlessly, bashyle, abysmal, abysmally, balsamy, abyssal, ballsy, basally"
contains_letters,contains_letters:cnp,C と N と P をすべて含む単語,16325,"abdominoscope, abdominoscopy, absorptance, academicianship, acalephan, acephalan, encephala, epencephal, epencephala, neencephala, paleencephala, phalaecean"
contains_letters,contains_letters:gh,G と H をすべて含む単語,16252,"aahing, anhinga, anigh, ghain, ghanaian, ghanian, hagging, hanging, aargh, aarrgh, aarrghh, agrah"
contains_letters,contains_letters:lmr,L と M と R をすべて含む単語,16217,"abnormal, abnormalcy, abnormalcies, scribbleomania, abnormalise, ameliorableness, nonliberalism, salmonberries, semibaronial, abnormalised, bandolerismo, abnormalising"
contains_letters,contains_letters:cdr,C と D と R をすべて含む単語,16174,"abdicator, bactritoid, diabrotic, diabrotica, abdominocardiac, abdominohysterectomy, abdominothoracic, rhabdomantic, abductor, abductores, subcordate, abductors"
contains_letters,contains_letters:mop,M と O と P をすべて含む単語,16174,"abdominoposterior, abdominoscope, abdominoscopy, absorptiometer, absorptiometric, absumption, acanthopomatous, accompanable, companable, accompany, capnomancy, company"
contains_letters,contains_letters:gos,G と O と S をすべて含む単語,16135,"aasvogel, aasvogels, lovages, abiogeneses, abiogenesis, begonias, biogenase, abiogenesist, abiogenist, abnegations, geobotanist, obsignate"
contains_letters,contains_letters:grs,G と R と S をすべて含む単語,16098,"abencerrages, abnegators, bargestone, abnormalising, mislaboring, aboriginals, laborings, aborigines, bergsonian, orangeberries, reabsorbing, rosenbergia"
contains_letters,contains_letters:adu,A と D と U をすべて含む単語,16069,"abandum, mbunda, abdominous, subdomains, abduce, abduced, abducens, abundances, unabscessed, unscabbed, abducent, unabducted"
contains_letters,contains_letters:asy,A と S と Y をすべて含む単語,16066,"abasedly, syllabled, abashedly, shadbelly, abashlessly, bashyle, abbeys, abyes, abysses, absey, esbay, abbeystead"
contains_letters,contains_letters:abo,A と B と O をすべて含む単語,16051,"abacination, abaction, anabiotic, antibiotic, antitobacco, botanic, botanica, cabotin, cibation, nonbotanic, abacot, abboccato"
contains_letters,contains_letters:bis,B と I と S をすべて含む単語,16038,"abacisci, abasic, abcissa, absciss, abscissa, abscissas, bacis, basic, basics, bibasic, caccabis, scabia"
contains_letters,contains_letters:gm,G と M をすべて含む単語,15999,"abdominogenital, abdominovaginal, vaginoabdominal, abnormalising, mislaboring, abnormalizing, abominating, ambitioning, bombinating, abridgement, abridgment, abridgements"
contains_letters,contains_letters:fs,F と S をすべて含む単語,15899,"abfarads, absfarad, absorbefacient, sorbefacient, abuseful, suffusable, abusefully, abusefulness, balefulness, banefulness, unaffableness, unfeasable"
contains_letters,contains_letters:cdn,C と D と N をすべて含む単語,15877,"abdicant, abdicating, abdication, bandicoot, nonabdication, abdications, bandicoots, disboscation, abdominocardiac, abdominocentesis, disembocation, abdominocystic"
contains_letters,contains_letters:hps,H と P と S をすべて含む単語,15861,"abbotship, abbotships, papaphobist, phthisiophobia, posthabit, sitiophobia, sitophobia, stasiphobia, stasophobia, abigailship, ablepharous, sphaerobolus"
contains_letters,contains_letters:bit,B と I と T をすべて含む単語,15822,"abacinate, abietinic, antecabinet, antitabetic, bennettitaceae, betacaine, cabinet, abacination, abaction, anabiotic, antibiotic, antitobacco"
contains_letters,contains_letters:chs,C と H と S をすべて含む単語,15805,"abdominohysterectomy, abelmoschus, abhorrences, abyssobenthonic, ablewhackets, abrachias, baccharis, crabbish, abranchialism, abranchious, branchiosaur, branchiosauria"
contains_letters,contains_letters:ek,E と K をすべて含む単語,15749,"abelmosk, abelmosks, smokable, smokables, smokeable, abelmusk, abhiseka, bakshishes, ablewhackets, abococket, abovedeck, absarokite"
contains_letters,contains_letters:dy,D と Y をすべて含む単語,15729,"abandonedly, abasedly, syllabled, abashedly, shadbelly, abbeystead, abbeystede, bestayed, abditory, abdominally, abdominocystic, abdominohysterectomy"
contains_letters,contains_letters:hlt,H と L と T をすべて含む単語,15711,"abhorrently, abyssolith, ablewhackets, abolishment, abolishments, nonestablishment, absinthial, absinthol, biathlons, nihilobstat, absinthole, nonhabitableness"
contains_letters,contains_letters:nry,N と R と Y をすべて含む単語,15679,"abdominohysterectomy, abdominohysterotomy, abernethy, aberrancy, cranberry, aberrantly, abhenry, abhenrys, abshenry, abhorrency, abhorrently, ablutionary"
contains_letters,contains_letters:amu,A と M と U をすべて含む単語,15645,"abandum, mbunda, abaptistum, abcoulomb, columba, abdominous, subdomains, abecedarium, abelmoschus, abelmusk, abjurement, abnormous"
contains_letters,contains_letters:dsu,D と S と U をすべて含む単語,15596,"abdominous, subdomains, abducens, abundances, unabscessed, unscabbed, abducentes, subaduncate, substanced, unsubstanced, abduces, abductions"
contains_letters,contains_letters:amp,A と M と P をすべて含む単語,15577,"abamp, abampere, parabema, abamperes, absampere, preembarrass, abamps, abaptistum, abdominoposterior, abdominoscope, abdominoscopy, abepithymia"
contains_letters,contains_letters:ft,F と T をすべて含む単語,15555,"abaft, aftaba, baft, bafta, abortifacient, birefraction, febricitation, refabrication, absorbefacient, sorbefacient, acetabuliferous, cobaltiferous"
contains_letters,contains_letters:opy,O と P と Y をすべて含む単語,15473,"abdominoscopy, abiotrophy, abyssopelagic, absorptively, absorptivity, acanthopterygian, acanthopterygii, chiropterygian, hyperorthognathic, ichthyopterygian, rehypothecating, accompany"
contains_letters,contains_letters:cly,C と L と Y をすべて含む単語,15446,"abactinally, cannibality, incitability, abiogenetically, biogenetically, congealability, geobotanically, abiologically, biologically, abiotically, allocability, biocatalytic"
contains_letters,contains_letters:gnu,G と N と U をすべて含む単語,15440,"abducing, abducting, unabdicating, abiogenous, basigenous, abjudging, abjudicating, abjuring, abounding, unabandoning, aboundingly, aboveground"
contains_letters,contains_letters:opu,O と P と U をすべて含む単語,15378,"ablepharous, sphaerobolus, abruptio, tubipora, abruption, unapprobation, abruptiones, perturbations, petrobrusian, subapprobatiness, superobstinate, superobstinateness"
contains_letters,contains_letters:bio,B と I と O をすべて含む単語,15355,"abacination, abaction, anabiotic, antibiotic, antitobacco, botanic, botanica, cabotin, cibation, nonbotanic, abalation, ablation"
contains_letters,contains_letters:cmn,C と M と N をすべて含む単語,15278,"abbroachment, carbomethene, chronobarometer, abdominocardiac, abdominocentesis, disembocation, abdominocystic, abdominohysterectomy, abdominoscope, abdominoscopy, abdominothoracic, rhabdomantic"
contains_letters,contains_letters:dls,D と L と S をすべて含む単語,15275,"aardwolves, abasedly, syllabled, abashedly, shadbelly, abdominales, bidimensional, nonadmissible, nonadmissibleness, abdominals, abdominovesical, vesicoabdominal"
contains_letters,contains_letters:efr,E と F と R をすべて含む単語,15275,"abortifacient, birefraction, febricitation, refabrication, aboveproof, absorbefacient, sorbefacient, acetabuliferous, cobaltiferous, acetabuliform, acetifier, actifier"
contains_letters,contains_letters:hpt,H と P と T をすべて含む単語,15224,"abbotship, abbotships, papaphobist, phthisiophobia, posthabit, sitiophobia, sitophobia, stasiphobia, stasophobia, abepithymia, amphibiety, abiotrophy"
contains_letters,contains_letters:sty,S と T と Y をすべて含む単語,15214,"abbeystead, abbeystede, bestayed, abdominocystic, abdominohysterectomy, abdominohysterotomy, abyssobenthonic, abyssolith, absently, absentmindedly, absyrtus, subtray"
contains_letters,contains_letters:dip,D と I と P をすべて含む単語,15154,"abdominoposterior, abdominoscope, abdominoscopy, academicianship, acalephoid, acidophile, cephalodia, cephaloid, cephalopodic, dolichocephal, dolichocephali, dolichocephalic"
contains_letters,contains_letters:tv,T と V をすべて含む単語,15140,"abbreviatable, avertible, irretrievable, liberative, retrievable, triverbal, triverbial, veritable, vertebrarterial, vibratile, abbreviate, aberrative"
contains_letters,contains_letters:cgi,C と G と I をすべて含む単語,15071,"abdicating, abducing, abducting, unabdicating, abiogenetic, cabotinage, geobotanic, iceboating, abiogenetical, biogenetical, geobotanical, incogitable"
contains_letters,contains_letters:chn,C と H と N をすべて含む単語,15014,"abbroachment, carbomethene, chronobarometer, abdominohysterectomy, abdominothoracic, rhabdomantic, abhorrence, archbeacon, bronchorrhea, nonbreach, orobanchaceae, orobanche"
contains_letters,contains_letters:apu,A と P と U をすべて含む単語,15000,"abaptistum, ablepharous, sphaerobolus, ablepharus, pearlbush, abrupt, abruptedly, abrupter, perturbate, abruptest, butterpaste, perturbatress"
contains_letters,contains_letters:bor,B と O と R をすべて含む単語,14975,"abactor, acrobat, babracot, cartboot, corroborator, tobaccoroot, abandoner, bandore, bareboned, broaden, broadened, broadener"
contains_letters,contains_letters:dim,D と I と M をすべて含む単語,14925,"abdomina, bondmaid, abdominal, abdominalia, abdominalian, abdominales, bidimensional, nonadmissible, nonadmissibleness, abdominally, abdominals, abdominoanterior"
contains_letters,contains_letters:cey,C と E と Y をすべて含む単語,14922,"abdominohysterectomy, abecedary, abeyance, abeyancy, abeyances, abeyancies, biscayen, aberrancy, cranberry, abhorrency, abiogenetically, biogenetically"
contains_letters,contains_letters:sv,S と V をすべて含む単語,14916,"aardvarks, aardwolves, aasvogel, aasvogels, lovages, abbreviates, abstersive, reabbreviates, vibrates, abbreviations, abortiveness, inobservant"
contains_letters,contains_letters:msu,M と S と U をすべて含む単語,14912,"abaptistum, abdominous, subdomains, abelmoschus, abelmusk, abnormous, submanor, abomasum, abomasus, abomasusi, abscoulomb, submucosal"
contains_letters,contains_letters:mnu,M と N と U をすべて含む単語,14903,"abandum, mbunda, abdominous, subdomains, abjurement, abnormous, submanor, abnumerable, blubberman, enumerable, lumberman, manurable"
contains_letters,contains_letters:hls,H と L と S をすべて含む単語,14894,"abashedly, shadbelly, abashless, bashless, belash, beslash, heelballs, shabble, abashlessly, bashyle, abelmoschus, abigailship"
contains_letters,contains_letters:cty,C と T と Y をすべて含む単語,14891,"abactinally, cannibality, incitability, abbotcy, tobaccoy, abdominocystic, abdominohysterectomy, abiogenetically, biogenetically, congealability, geobotanically, abiotically"
contains_letters,contains_letters:beu,B と E と U をすべて含む単語,14778,"abacuses, because, besauce, subcase, subcause, subcauses, succubae, abattue, bateau, batteau, battue, battute"
contains_letters,contains_letters:cms,C と M と S をすべて含む単語,14726,"abbacomes, camboose, abdominocentesis, disembocation, abdominocystic, abdominohysterectomy, abdominoscope, abdominoscopy, abdominovesical, vesicoabdominal, abelmoschus, ablastemic"
contains_letters,contains_letters:dou,D と O と U をすべて含む単語,14649,"abdominous, subdomains, abduction, abductions, audubonistic, discubation, subindication, abductor, abductores, subcordate, abductors, abjudication"
contains_letters,contains_letters:npu,N と P と U をすべて含む単語,14554,"abruption, unapprobation, abruptiones, perturbations, petrobrusian, subapprobatiness, superobstinate, superobstinateness, turbinatostipitate, unabsorptiness, abruptness, subapparent"
contains_letters,contains_letters:bd,B と D をすべて含む単語,14536,"ababdeh, beehead, beeheaded, behead, beheaded, dahabeah, abada, abd, bad, dab, dabb, dabba"
contains_letters,contains_letters:giu,G と I と U をすべて含む単語,14523,"abducing, abducting, unabdicating, abigeus, abiogenous, basigenous, abjudging, abjudicating, abjuring, abounding, unabandoning, aboundingly"
